imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
3,BRISK,FREAK,0.0417059,0.0470576,277,156,0.0887635
4,BRISK,FREAK,0.0408883,0.0499604,297,173,0.0908487
5,BRISK,FREAK,0.0406256,0.0470412,279,160,0.0876668
6,BRISK,FREAK,0.0428821,0.0468995,289,183,0.0897817
7,BRISK,FREAK,0.0412096,0.0466931,272,169,0.0879027
8,BRISK,FREAK,0.0406273,0.0465574,266,179,0.0871846
9,BRISK,FREAK,0.0406576,0.0463911,254,168,0.0870487
,,,,,,,0.0870487
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,ORB,FREAK,0.00983952,0.0477183,102,42,0.0575578
2,ORB,FREAK,0.00862498,0.0470497,106,36,0.0556746
3,ORB,FREAK,0.0085349,0.0458962,113,45,0.0544311
4,ORB,FREAK,0.0089494,0.0452081,109,47,0.0541575
5,ORB,FREAK,0.0105412,0.0462607,125,44,0.056802
6,ORB,FREAK,0.0111866,0.0456485,130,51,0.0568351
7,ORB,FREAK,0.0106766,0.0443937,129,52,0.0550703
8,ORB,FREAK,0.00878848,0.0449007,127,49,0.0536892
9,ORB,FREAK,0.00895643,0.0474483,128,55,0.0564047
,,,,,,,0.0536892
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,AKAZE,FREAK,0.0686871,0.0457072,157,126,0.114394
2,AKAZE,FREAK,0.064571,0.0473784,161,128,0.111949
3,AKAZE,FREAK,0.0651136,0.0462581,155,128,0.111372
4,AKAZE,FREAK,0.0629146,0.0462058,163,121,0.10912
5,AKAZE,FREAK,0.0620264,0.0455123,164,123,0.107539
6,AKAZE,FREAK,0.0603181,0.0462389,173,132,0.106557
7,AKAZE,FREAK,0.0603511,0.046899,175,145,0.10725
8,AKAZE,FREAK,0.0583807,0.0449149,177,148,0.103296
9,AKAZE,FREAK,0.0598155,0.047048,179,137,0.106864
,,,,,,,0.103296
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,SIFT,FREAK,0.0932091,0.0445933,132,64,0.137802
2,SIFT,FREAK,0.0932348,0.0450509,124,72,0.138286
3,SIFT,FREAK,0.0943166,0.0459396,137,65,0.140256
4,SIFT,FREAK,0.0936581,0.0449702,134,66,0.138628
5,SIFT,FREAK,0.0909281,0.0437885,140,63,0.134717
6,SIFT,FREAK,0.0908308,0.0437511,137,58,0.134582
7,SIFT,FREAK,0.0917173,0.0447025,148,64,0.13642
8,SIFT,FREAK,0.0944189,0.0445623,159,65,0.138981
9,SIFT,FREAK,0.0934328,0.0446212,137,79,0.138054
,,,,,,,0.134582
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,AKAZE,AKAZE,0.0740376,0.0588861,157,138,0.132924
2,AKAZE,AKAZE,0.0669343,0.056884,161,138,0.123818
3,AKAZE,AKAZE,0.0688065,0.0567612,155,133,0.125568
4,AKAZE,AKAZE,0.0684149,0.0552318,163,127,0.123647
5,AKAZE,AKAZE,0.0654396,0.0583605,164,129,0.1238
6,AKAZE,AKAZE,0.0667907,0.0562171,173,146,0.123008
7,AKAZE,AKAZE,0.0679752,0.057188,175,147,0.125163
8,AKAZE,AKAZE,0.0691482,0.0582045,177,151,0.127353
9,AKAZE,AKAZE,0.0625472,0.0575273,179,150,0.120074
,,,,,,,0.120074
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,SHITOMASI,SIFT,0.0142417,0.0222225,118,112,0.0364642
2,SHITOMASI,SIFT,0.0137968,0.0170623,123,109,0.0308591
3,SHITOMASI,SIFT,0.0162002,0.0237744,120,104,0.0399746
4,SHITOMASI,SIFT,0.0143303,0.0210186,120,103,0.0353488
5,SHITOMASI,SIFT,0.0147197,0.0208831,113,99,0.0356028
6,SHITOMASI,SIFT,0.0146041,0.0212122,114,101,0.0358163
7,SHITOMASI,SIFT,0.0140587,0.0210104,123,96,0.0350691
8,SHITOMASI,SIFT,0.0171556,0.0241748,111,106,0.0413304
9,SHITOMASI,SIFT,0.0148693,0.0203975,112,97,0.0352668
,,,,,,,0.0308591
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,HARRIS,SIFT,0.0134949,0.0213925,14,14,0.0348875
2,HARRIS,SIFT,0.0161702,0.0200089,18,11,0.0361791
3,HARRIS,SIFT,0.015061,0.0195317,21,16,0.0345927
4,HARRIS,SIFT,0.0142415,0.015737,26,19,0.0299784
5,HARRIS,SIFT,0.0291759,0.0241427,43,22,0.0533186
6,HARRIS,SIFT,0.0140413,0.0188978,18,22,0.032939
7,HARRIS,SIFT,0.0159152,0.0156214,31,13,0.0315365
8,HARRIS,SIFT,0.0143345,0.0207113,26,24,0.0350457
9,HARRIS,SIFT,0.0200186,0.0212678,34,22,0.0412865
,,,,,,,0.0299784
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,FAST,SIFT,0.00126321,0.0236233,152,118,0.0248865
2,FAST,SIFT,0.00121151,0.0216893,150,123,0.0229008
3,FAST,SIFT,0.00124164,0.020466,155,110,0.0217076
4,FAST,SIFT,0.00126016,0.0211735,149,119,0.0224337
5,FAST,SIFT,0.00124736,0.0212921,149,114,0.0225394
6,FAST,SIFT,0.00125094,0.0225873,156,119,0.0238382
7,FAST,SIFT,0.00124339,0.020839,150,123,0.0220824
8,FAST,SIFT,0.00131423,0.0232986,138,117,0.0246129
9,FAST,SIFT,0.00128072,0.0234348,143,103,0.0247155
,,,,,,,0.0217076
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
1,BRISK,SIFT,0.041406,0.036606,282,182,0.078012
2,BRISK,SIFT,0.040954,0.0370727,282,193,0.0780267
3,BRISK,SIFT,0.0415893,0.038884,277,169,0.0804733
4,BRISK,SIFT,0.0405751,0.0415852,297,183,0.0821603
5,BRISK,SIFT,0.0405405,0.0354476,279,171,0.0759881
6,BRISK,SIFT,0.0406524,0.0362238,289,195,0.0768761
7,BRISK,SIFT,0.0406462,0.0349708,272,194,0.075617
8,BRISK,SIFT,0.0404237,0.0361152,266,176,0.0765389
9,BRISK,SIFT,0.0409291,0.0349215,254,183,0.0758506
,,,,,,,0.075617
,,,,,,,
imageIndex,detectorType,descriptorType,detectorTime,descriptorTime,detectectedKeypoints,matchedKeypoints,totalTime
